name,description,url,logo_url,categories,domains,cost_index,bench_score,embedding_text
DeepSeek R1,OpenAI o1과 경쟁하는 중국의 강화학습 기반 추론 AI 모델,https://chat.deepseek.com,https://www.google.com/s2/favicons?domain=deepseek.com&sz=128,"추론, 수학 문제 해결, 코딩","복잡한 수학 문제, 프로그래밍, 과학적 추론, 논리적 사고",1,94,"DeepSeek R1은 2025년 1월 출시된 중국 최초의 o1 급 추론 모델로, OpenAI o1과 비교할 만한 성능을 달성하면서도 95% 더 저렴한 가격을 제공한다. AIME 2025에서 87.5% 성취도를 기록했으며, 수학, 코딩, 추론 작업에서 탁월한 성능을 보인다. 강화학습만으로 훈련된 혁신적인 접근법으로 supervised fine-tuning 없이도 뛰어난 결과를 얻어냈다. MIT 라이선스로 완전히 오픈소스이며, 상업적 이용과 파인튜닝이 자유롭다. API 가격이 기존 o1 대비 극도로 저렴하여 대규모 추론 작업에 최적화되어 있으며, 중국 AI 기술력을 전 세계에 증명한 혁신적 모델이다."
Claude 3.5 Haiku,Claude 3 Opus를 능가하는 성능을 가진 Anthropic의 고속 경량 모델,https://www.anthropic.com/claude,https://www.google.com/s2/favicons?domain=anthropic.com&sz=128,"콘텐츠 생성, 코딩 지원, 빠른 처리","대화형 챗봇, 데이터 처리, 코드 완성, 실시간 콘텐츠 조정",2,86,"Claude 3.5 Haiku는 2024년 10월 출시된 Anthropic의 차세대 고속 모델로, 이전 세대 최고 모델인 Claude 3 Opus를 여러 벤치마크에서 능가하면서도 훨씬 빠른 속도를 제공한다. SWE-bench Verified에서 40.6%를 기록하며 많은 SOTA 모델들을 앞선다. 200k 컨텍스트 윈도우를 지원하고, 향상된 명령어 준수와 정확한 도구 사용이 특징이다. 대화형 챗봇, 데이터 추출 및 라벨링, 실시간 콘텐츠 조정에 특화되어 있으며, 일괄 처리 API로 50% 비용 절감도 가능하다. 특히 방대한 데이터를 활용한 사용자 맞춤형 서비스와 특수한 하위 에이전트 작업에 적합한 균형 잡힌 모델이다."
OpenAI o1,복잡한 추론 작업을 위해 설계된 OpenAI의 '생각하는' AI 모델,https://openai.com/o1,https://www.google.com/s2/favicons?domain=openai.com&sz=128,"추론, 과학적 분석, 복잡한 문제 해결","수학 올림피아드, 과학 연구, 복잡한 코딩, 다단계 추론",3,96,"OpenAI o1은 2024년 9월 출시된 혁신적인 추론 모델로, 답변하기 전에 충분한 '생각 시간'을 갖도록 훈련되었다. IMO 수학 올림피아드에서 83% 성공률을 기록하며 GPT-4o의 13%를 크게 앞선다. PhD 수준의 물리, 화학, 생물학 문제에서 대학원생과 비슷한 성능을 보이며, 코딩 대회에서는 89퍼센타일을 달성했다. 6단계 체인-오브-쏘트 프로세스(문제 분석, 작업 분해, 체계적 실행, 대안 솔루션, 자기 평가, 자기 수정)를 통해 복잡한 문제를 단계적으로 해결한다. 월 $15-60의 고가이지만 최고 수준의 추론이 필요한 미션 크리티컬한 작업에서는 대체 불가능한 성능을 제공한다."
Otter.ai,실시간 회의 전사 및 AI 요약 기능을 제공하는 회의 어시스턴트,https://otter.ai,https://www.google.com/s2/favicons?domain=otter.ai&sz=128,"음성 전사, 회의 요약, 협업","회의 기록, 인터뷰 전사, 강의 노트, 팀 협업",1,88,"Otter.ai는 실시간 음성 전사와 AI 기반 회의 요약을 제공하는 선도적인 회의 어시스턴트다. Zoom, Microsoft Teams, Google Meet에 자동으로 참여하여 대화를 전사하고 핵심 포인트를 요약한다. 자동 화자 식별, 실시간 협업 편집, 액션 아이템 추출 등의 기능으로 회의 후 후속 작업을 자동화한다. OtterPilot 봇이 회의에 자동 참여하여 슬라이드 캡처와 함께 종합적인 회의 기록을 생성한다. 무료 플랜부터 Pro 플랜($10/월)까지 제공하며, 특히 회의가 많은 비즈니스 팀과 교육 기관에서 수동 노트 작성의 부담을 획기적으로 줄여주는 필수 도구로 자리잡고 있다."
Whisper,96개 언어를 지원하는 OpenAI의 오픈소스 음성 인식 시스템,https://openai.com/whisper,https://www.google.com/s2/favicons?domain=openai.com&sz=128,"음성 인식, 전사, 다국어 처리","오디오 전사, 다국어 번역, 오프라인 처리, 연구",0,91,"OpenAI Whisper는 96개 언어를 지원하는 완전 무료 오픈소스 음성 인식 시스템으로, 매우 높은 정확도를 자랑한다. 다양한 억양과 노이즈 환경에서도 강인한 성능을 보이며, 인터넷 연결 없이 오프라인에서도 동작한다. 개발자들이 자유롭게 커스터마이징할 수 있고, API를 통한 사용량 기반 요금제도 제공한다. 멀티링구얼 지원이 특히 강력하여 전 세계적인 프로젝트나 연구에 이상적이다. 기술적 지식이 있는 사용자에게는 무제한 활용이 가능하지만, 초보자에게는 설정이 복잡할 수 있다. 정확성, 커스터마이징, 오프라인 기능이 중요한 전문적인 음성 처리 작업에서는 대체 불가능한 도구다."
Tome,AI 기반 스토리텔링 프레젠테이션 자동 생성 도구,https://tome.app,https://www.google.com/s2/favicons?domain=tome.app&sz=128,"프레젠테이션 생성, 스토리텔링, 디자인","스타트업 피칭, 브랜드 덱, 데모, 창작 프레젠테이션",1,87,"Tome은 텍스트 프롬프트만으로 시각적으로 매력적인 스토리텔링 프레젠테이션을 자동 생성하는 AI 도구다. 기존 슬라이드 툴과 달리 내러티브 중심의 구성을 통해 청중의 몰입도를 높인다. 빌트인 애니메이션, 라이브 임베드, Notion 및 Figma 연동 등으로 인터랙티브한 경험을 제공한다. 무료 플랜부터 Pro 플랜($16/월)까지 제공하며, 특히 스타트업 파운더, 브랜드 매니저, 데모 데이 발표자들이 3배 빠르게 임팩트 있는 프레젠테이션을 만들 수 있게 해준다. 데이터 중심보다는 비주얼 내러티브와 스토리텔링이 중요한 프레젠테이션에 최적화되어 있어, 창의적 표현이 필요한 피칭과 브랜딩 작업에서 탁월한 성과를 보인다."
Descript,텍스트 편집으로 비디오를 편집할 수 있는 혁신적인 AI 영상 편집 도구,https://www.descript.com,https://www.google.com/s2/favicons?domain=descript.com&sz=128,"비디오 편집, 오디오 편집, 음성 복제","팟캐스트, 교육 콘텐츠, 인터뷰 편집, 나레이션",1,89,"Descript는 자동 전사를 통해 텍스트 편집만으로 비디오와 오디오를 편집할 수 있는 혁명적인 도구다. 스크립트를 수정하면 실제 영상이 자동으로 편집되는 독특한 워크플로우를 제공한다. Overdub 기능으로 자신의 음성을 복제하여 발음 실수나 누락된 부분을 재녹음 없이 수정할 수 있다. 화면 녹화, 멀티미디어 통합, 팀 협업 기능까지 포함한 올인원 플랫폼이다. 팟캐스터, 교육자, 유튜버들이 대화 중심 콘텐츠를 편집할 때 기존 방식 대비 수 시간을 절약할 수 있다. 무료 플랜부터 Pro 플랜($12/월)까지 제공하며, 특히 인터뷰, 웨비나, 교육 세션 등 음성이 중심인 콘텐츠 편집에서 타의 추종을 불허하는 효율성을 제공한다."
Runway Gen-3,텍스트에서 고품질 비디오를 생성하는 최첨단 AI 비디오 생성 모델,https://runwayml.com,https://www.google.com/s2/favicons?domain=runwayml.com&sz=128,"비디오 생성, 시각 효과, 창작 도구","광고 제작, 뮤직 비디오, 시각 효과, 실험적 영상",2,93,"Runway Gen-3는 2024년 6월 출시된 최첨단 텍스트-비디오 생성 모델로, 전문가급 시각 효과와 창의적 비디오 제작을 가능하게 한다. 텍스트 프롬프트만으로 영화 같은 품질의 영상을 생성할 수 있으며, AI 기반 객체 제거, 배경 교체, 모션 트래킹 등 고급 VFX 기능을 제공한다. 실제 그린 스크린 없이도 배경을 교체할 수 있는 혁신적 기술을 보유하고 있다. 미디어 스튜디오, 광고 대행사, 크리에이티브 팀들이 기존에는 수십만 달러와 수개월이 걸렸던 작업을 분 단위로 완성할 수 있게 해준다. 무료 플랜부터 Standard 플랜($15/월)까지 제공하며, AI가 창의적 경계를 확장하는 차세대 비디오 제작의 새로운 패러다임을 제시한다."
Arc Browser,AI 기능이 통합된 차세대 생산성 중심 웹 브라우저,https://arc.net,https://www.google.com/s2/favicons?domain=arc.net&sz=128,"웹 브라우징, 생산성, AI 어시스턴트","웹 서핑, 연구, 멀티태스킹, 팀 협업",0,85,"Arc Browser는 AI 기능이 내장된 혁신적인 웹 브라우저로, 기존 브라우징 경험을 완전히 재정의한다. Max AI 어시스턴트가 5초 미리보기, 페이지 질문하기, 링크 요약 등의 기능을 제공한다. 사이드바 기반의 독특한 인터페이스로 탭 관리를 혁신했으며, Spaces 기능으로 프로필을 쉽게 분리할 수 있다. 내장된 광고 차단기와 트래커 블로커로 프라이버시를 보호하며, 라이브 스크린샷과 커맨드 바로 빠른 탐색이 가능하다. 완전 무료임에도 불구하고 생산성 중심의 고급 기능들을 제공하여, 연구자, 개발자, 크리에이티브 워커들 사이에서 컬트적인 인기를 얻고 있다. 전통적인 브라우저에서 벗어나 더 스마트하고 효율적인 웹 경험을 원하는 사용자들에게 이상적이다."
Superhuman,AI 기반 이메일 자동화 및 생산성 최적화 도구,https://superhuman.com,https://www.google.com/s2/favicons?domain=superhuman.com&sz=128,"이메일 관리, 생산성, AI 자동화","비즈니스 이메일, 고객 소통, 영업, 경영진 커뮤니케이션",3,92,"Superhuman은 AI 기술로 이메일 관리를 혁신하는 프리미엄 이메일 도구로, 사용자들이 주당 4시간을 절약하고 12시간 더 빠르게 응답할 수 있게 해준다. Smart Triage로 중요한 이메일을 우선 표시하고, AI가 사용자의 글쓰기 스타일을 학습하여 개인화된 답장을 생성한다. 읽음 상태 확인, 일정 예약, 후속 조치 자동화 등으로 이메일을 전략적 도구로 변화시킨다. Split Inbox로 중요한 사람들의 메시지를 자동 분류하며, 키보드 단축키로 마우스 없이 초고속 처리가 가능하다. 월 30달러의 고가이지만 이메일 볼륨이 많은 임원, 영업팀, 고객 대응팀에게는 업무 효율성을 극적으로 향상시키는 필수 투자로 평가받는다."
Monday.com AI,AI 기능이 내장된 직관적인 작업 관리 플랫폼,https://monday.com,https://www.google.com/s2/favicons?domain=monday.com&sz=128,"프로젝트 관리, 작업 자동화, 팀 협업","팀 협업, 프로젝트 추적, 워크플로우 관리, 리소스 계획",2,87,"Monday.com은 AI 기능이 강화된 시각적 작업 관리 플랫폼으로, 다양한 팀의 워크플로우를 효과적으로 관리한다. AI가 작업 우선순위를 제안하고, 반복 작업을 자동화하며, 프로젝트 진행 상황을 스마트하게 업데이트한다. 칸반, 간트, 타임라인 등 다양한 보기 옵션과 커스터마이징 가능한 워크플로우로 팀의 고유한 작업 방식에 맞춰 조정할 수 있다. 200개 이상의 앱과 통합되며, 자동화 규칙으로 반복적인 업무를 줄인다. 무료 플랜(2석)부터 Standard 플랜($13/월)까지 제공하며, 특히 비기술팀과 크리에이티브 팀에서 복잡한 프로젝트 관리 도구 없이도 체계적인 작업 관리를 가능하게 해주는 사용자 친화적인 솔루션이다."
Linear,소프트웨어 팀을 위한 고속 이슈 추적 및 프로젝트 관리 도구,https://linear.app,https://www.google.com/s2/favicons?domain=linear.app&sz=128,"이슈 추적, 소프트웨어 개발, 프로젝트 관리","소프트웨어 개발, 스프린트 계획, 버그 추적, 기능 요청",2,90,"Linear는 빠른 속도의 소프트웨어 개발 팀을 위해 설계된 현대적인 이슈 추적 도구다. 키보드 우선 인터페이스로 마우스 클릭을 최소화하고, 밀리초 단위의 빠른 응답 속도를 자랑한다. 로드맵, 이슈, 사이클을 하나의 플랫폼에서 관리하며, GitHub/GitLab과의 완벽한 통합으로 코드와 이슈를 연결한다. 자동화된 워크플로우와 Git 통합으로 개발 프로세스를 간소화한다. 무료 플랜(소규모 팀)부터 Standard 플랜($8/월)까지 제공하며, 개발 속도와 집중력이 중요한 소프트웨어 팀에서 Jira의 복잡함 없이도 효율적인 이슈 관리를 가능하게 한다. 특히 스타트업과 빠르게 움직이는 개발팀들 사이에서 압도적인 지지를 받고 있다."
DownGit,"GitHub의 폴더·단일 파일을 ZIP으로 바로 내려받게 해주는 무료 웹 유틸리티","https://minhaskamal.github.io/DownGit","https://www.google.com/s2/favicons?domain=minhaskamal.github.io&sz=128","파일 다운로드, 개발 도구","GitHub 리소스 오프라인 백업, 코드 스니펫 추출",0,85,"DownGit은 GitHub 저장소 전체를 클론하지 않고 특정 디렉터리·파일만 선택해 즉시 ZIP 패키지로 다운로드하도록 자동화해 주는 경량 웹 서비스다. 핵심 기능은 사용자가 URL만 입력하면 GitHub API를 호출해 대상 파일 목록을 수집하고 실시간으로 ZIP을 생성한 뒤 브라우저에 스트리밍한다는 점이다. Git 명령·Sparse Checkout 등 복잡한 절차를 몰라도 클릭 한 번으로 결과물을 받을 수 있어 비개발자도 쉽게 코드·리소스를 재활용하거나 백업할 수 있다. GitHub 웹 UI가 제공하지 않는 ‘부분 다운로드’ 수요를 정확히 해결하며, 인증이 필요 없는 공개 저장소라면 제한 없이 이용 가능하다. 비슷한 크롬 확장·CLI가 있지만 별도 설치가 필요 없는 순수 웹 방식이라는 차별점이 크다. 빠르게 특정 폴더를 가져와 문서, 예제, 데이터 세트를 활용해야 하는 교육·리서치 현장에서 특히 유용하다."
